C,c1,c2,Time,R,EXP,c1,
,10,300,103,0.780835544,9,10,26
,10,1000,0,0.989445181,9,10,27
,10,1000,29,1.044982317,9,10,27
,10,1000,29,1.129531388,9,10,27
,10,1000,29,1.147767462,9,10,27
,10,1000,47,1.142241379,9,10,27
,10,1000,47,1.109084881,9,10,27
,10,1000,47,1.089190981,9,10,27
,10,1000,103,0.775862069,9,10,27
,10,1000,103,0.644893899,9,10,27
,10,1000,103,0.482427056,9,10,27
,25,0,0,0.972786047,6,0,28
,25,0,0,0.877903277,7,50,28
,25,0,23.5,0.965368616,6,50,28
,25,0,23.5,0.944920563,6,50,28
,25,0,23.5,1.137372826,6,50,28
,25,0,26,1.465041362,7,50,28
,25,0,26,1.518016227,7,50,28
,25,0,26,1.307548521,7,50,28
,25,0,47.5,1.781987671,6,50,28
,25,0,47.5,1.901067509,6,50,28
,25,0,47.5,1.757931138,6,50,28
,25,0,53.5,1.937997136,7,50,28
,25,0,53.5,2.028197582,7,50,28
,25,0,53.5,2.038219854,7,50,28
,25,0,71,2.091013883,6,50,28
,25,0,71,2.117476069,6,50,28
,25,0,71,1.915401193,6,50,28
,25,0,94,1.640054127,6,50,28
,25,0,94,1.919109908,6,50,28
,25,0,94,2.041798226,6,50,28
,25,0,94.5,2.613784601,7,50,28
,25,0,94.5,2.364659561,7,50,28
,25,0,94.5,2.41477092,7,50,28
,25,0,120,2.668787782,7,50,28
,25,0,120,2.760419981,7,50,28
,25,0,120,2.37241489,7,50,28
,25,15,0,1.066606525,6,0,29
,25,15,0,1.032532612,7,50,29
,25,15,23.5,1.003859069,6,50,29
,25,15,23.5,0.875156618,6,50,29
,25,15,23.5,1.067608881,6,50,29
,25,15,26,1.591035635,7,50,29
,25,15,26,1.530902004,7,50,29
,25,15,26,1.392021954,7,50,29
,25,15,47.5,1.741091565,6,50,29
,25,15,47.5,1.629228687,6,50,29
,25,15,47.5,1.66411066,6,50,29
,25,15,53.5,1.757596246,7,50,29
,25,15,53.5,2.112671015,7,50,29
,25,15,53.5,1.909362074,7,50,29
,25,15,71,1.8841277,6,50,29
,25,15,71,1.837217461,6,50,29
,25,15,71,1.821580715,6,50,29
,25,15,94,1.634039994,6,50,29
,25,15,94,1.531799729,6,50,29
,25,15,94,1.569087355,6,50,29
,25,15,94.5,1.590081133,7,50,29
,25,15,94.5,1.807707604,7,50,29
,25,15,94.5,1.544265033,7,50,29
,25,15,120,1.594972956,7,50,29
,25,15,120,1.62933503,7,50,29
,25,15,120,1.470410436,7,50,29
,25,50,0,0.958352127,6,0,30
,25,50,0,1.038259625,7,50,30
,25,50,23.5,1.12534456,6,50,30
,25,50,23.5,1.339447702,6,50,30
,25,50,23.5,1.139778479,6,50,30
,25,50,26,1.430679287,7,50,30
,25,50,26,1.582445116,7,50,30
,25,50,26,1.380567929,7,50,30
,25,50,47.5,1.81446399,6,50,30
,25,50,47.5,2.009321906,6,50,30
,25,50,47.5,2.036986919,6,50,30
,25,50,53.5,1.605830417,7,50,30
,25,50,53.5,1.789094814,7,50,30
,25,50,53.5,1.771913777,7,50,30
,25,50,71,1.759033729,6,50,30
,25,50,71,1.566581466,6,50,30
,25,50,71,1.629128452,6,50,30
,25,50,94,1.565478875,6,50,30
,25,50,94,1.452413171,6,50,30
,25,50,94,1.336941813,6,50,30
,25,50,94.5,1.348114858,7,50,30
,25,50,94.5,1.706053134,7,50,30
,25,50,94.5,1.106148584,7,50,30
,25,50,120,1.129653198,7,50,30
,25,50,120,1.214126631,7,50,30
,25,50,120,1.101018136,7,50,30
,25,150,0,1.00405954,6,0,31
,25,150,0,1.025373847,7,50,31
,25,150,23.5,1.015887335,6,50,31
,25,150,23.5,1.4657445,6,50,31
,25,150,23.5,0.984613843,6,50,31
,25,150,26,1.62110245,7,50,31
,25,150,26,1.344774101,7,50,31
,25,150,26,1.307548521,7,50,31
,25,150,47.5,1.672530447,6,50,31
,25,150,47.5,1.702601113,6,50,31
,25,150,47.5,1.50654037,6,50,31
,25,150,53.5,1.770482024,7,50,31
